entity1,relationship,entity2
Tywin,hid,Casterly Rock
Sansa,hide,Sandor
Waif,hinting,Arya
Tyrion,hitting,Tywin
Daenerys,hold,Rakharo
Grenn,holding,Jon
Cersei,holding,Joffrey
Reek,holding,Moat Cailin
Catelyn,holds,Bran
Lady Lysa Arryn,holds,Robin
Catelyn,holds,Tyrion
Robb,holds,Bran
Syrio,holds,Arya
Catelyn,holds,Tyrion
Ser Ilyn Payne,holds,Lord Eddard
Starks,holds,Sansa
Theon,holds,Arya
Karl,holds,Craster
Daario,holds,Missandei
Sandor,holds,Arya
Varys,holds,Unsullied
Jon,holds a dying,Ygritte
Stannis,honor,Lord
Sam,hope,Gilly
Jon,hoping to link,Qhorin
Catelyn,horrified at herself for thinking,Jon
Stannis,horrified to hear,Salladhor
Sansa Sansa,horrified to see,Moat Cailin
Ser Rodrik,horrifying,Winterfell
Robert Baratheon,hosts,Eddard
Cersei Cersei,hosts,Sansa Stark
Daenerys,hosts,Mero
Enraged,humiliated that his uncle outwitted,Joffrey
Arya,hurt,Arya
Jaime,identifies,Estermont
Small Council,if any,Robert
Eddard,if the,Hound
Aerys Targaryen,if the,Mad King
Theon,if the,Greyjoys
Renly,if the,Lannisters
White Walkers,if the,White
Shireen,if the,Onion Knight
Mance,if the,Night's Watch
Mance,if the,Night's Watch
Dorne,if the,Sand Snakes
Cersei,ignore,Cersei
Cersei,ignored,Janos Slynt
Myrcella,ignores,Cersei
Melisandre,ignores the barb and looks,Arya
Robb,ignoring,Samwell
Lady Talisa Maegyr,ignoring,House Frey
King,ignoring her attempts to defend,Tyrion
Night's Watch,implied,Sam
Bronn,implores,Jaime
Tormund,implores,Jon
Brienne,implores,Arya
Renly,implying,Renly
Illyrio,implying he knows,Varys
King,implying that they sacrifice,Shireen
Aemon,impressed,Sam
Stannis,improves,Boltons
Sansa,in,King
Astapor,in,Slaver
Small Council,in,King
Astapor,in,Slaver
North Robb Stark,in,Riverrun
Brotherhood Without Banners,in,Hollow Hill
Sansa,in,King
Cersei,in,King
Great Pyramid,in,Meereen
Tyrion,in,Slaver
Joy,in,Dorne
Tyrion,in The,Eyrie
Hound,in a,Sansa
Littlefinger,in a,Tyrion Lannister
Lysa,in a,Tyrion
Drogo,in a,Viserys
Sansa,in a,Joffrey
Princess Myrcella Baratheon,in a,Dorne
Tyrion Lannister,in a,Lady Olenna Tyrell
Tyrion,in a,King
Alliser Thorne,in a,Tormund
Prince Doran Martell,in a,Ellaria Sand
Grand Maester Pycelle,in all,Lord Renly Baratheon
Stannis,in all,Westeros
Wall,in the,Haunted Forest
Lyanna,in the,Winterfell
Wall,in the,Haunted Forest
Tyrion,in the,Yoren
Bran,in the,Guard
Jon Arryn,in the,Hand
Lady Lysa Arryn,in the,Eyrie
Tyrion,in the,Bran
Catelyn,in the,Eyrie
Robert,in the,Eddard
Varys,in the,Great Hall
Robert,in the,Kingswood
Syrio Forel,in the,Jory
Tyrion,in the,Eyrie
Narrow Sea,in the,Free
Robert,in the,Red Keep
Lysa,in the,Vale
Vale,in the,Vale
Robb,in the,Neck
Qotho,in the,Mirri Maz Duur
Robb,in the,North
Cersei,in the,Riverlands
Bran,in the,Godswood
Tywin Lannister,in the,Arya
Tywin,in the,Jaime
Catelyn Catelyn,in the,Renly Baratheon
Polliver,in the,Needle
Eddard Stark,in the,Riverlands
Harrenhal,in the,Riverlands
Mance,in the,Skirling Pass
Xhoan Daxos,in the,Qarth
Roose,in the,North
Ramsay Snow,in the,North
House Lannister,in the,Riverlands
First Men,in the,Frostfangs
King Robb Stark,in the,Westerlands
Daenerys,in the,Kovarro
Robb,in the,Lady Talisa Maegyr
Stannis Baratheon,in the,Battle
Tyrion,in the,Crown
Stannis,in the,Red Priestess
Wall,in the,Jon
Night's Watch,in the,Battle
Bones,in the,Frostfangs
Bronn,in the,Battle
Stannis Baratheon,in the,Battle
Tywin,in the,Riverlands
Bran Bran,in the,North
Ros,in the,North
Brienne,in the,Red Keep
Kingslayer,in the,North
Barristan,in the,Seven Kingdoms
Rhaegar,in the,Battle
Rhaegar,in the,Rhaegar
Riverrun,in the,Riverlands
Edmure,in the,Riverlands
Edmure,in the,Willem
Braavos,in the,Free Cities
Crossroads,in the,Riverlands
Iron Islands,in the,Iron Islands
Olenna,in the,Great Sept
Targaryen,in the,Great Sept
Olenna,in the,Margaery
Olenna,in the,Seven Kingdoms
Sansa Stark,in the,Red Keep
Highgarden,in the,Reach
Dondarrion,in the,Battle
Rast,in the,Craster
Missandei,in the,Low Valyrian
Ygritte,in the,Jon
Robb,in the,North
Stannis Baratheon,in the,Battle
Aerys,in the,Mad King
Selyse,in the,Lord
Tywin,in the,Battle
North,in the,Lannisters
Harrenhal,in the,Qyburn
Stannis,in the,Davos
Tyrion,in the,Sansa
Freys,in the,North
Lannisters,in the,Riverlands
Missandei,in the,Old Ghiscari
Jaime,in the,Kingsguard
Lord Baelish,in the,Vale
Elia,in the,King
Jaime,in the,Kingsguard
Jaime,in the,Kingsguard
Hound,in the,Vale
Axell Florent,in the,Lord
Bran,in the,Black Cells
Mace Tyrell,in the,Seven Kingdoms
Tywin,in the,Joffrey
Margaery,in the,Great Sept
Prince Prince,in the,Great Sept
Wall,in the,East
Common Tongue,in the,Summer Isles
Ghis,in the,House Targaryen
Jon,in the,Jojen
Hound,in the,Riverlands
Sansa,in the,Robin
Gregor,in the,Elia Martell
Sam,in the,Castle Black
Wall,in the,Castle
Mance,in the,Seven Kingdoms
Night's Watch,in the,Jon
Fennesz,in the,Daenerys
Cersei,in the,White Sword Tower
Lysa Arryn,in the,Eyrie –
Melara,in the,Prologue
Rhaegal,in the,Meereenese
Runestone,in the,Vale
Unsullied,in the,Daario
Bear Island,in the,North
Tyrion,in the,Priestess
Jon Jon,in the,Castle Black
Littlefinger,in the,North
Daenerys Targaryen,in the,Great Pyramid
Rhaegar,in the,Flea Bottom
Daario Daario,in the,Loraq
Robert Baratheon,in the,Battle
Sansa,in the,North
Tyrion,in the,Meereen
Arya,in the,Hall
Sansa,in the,North
Ramsay,in the,Broken Tower
Melisandre,in the,Stannis
Dornishman,in the,Sand Snakes
Meereen,in the,Great Pit
Meryn Trant Ser Meryn Trant,in the,Braavosi
Jaqen,in the,Waif
Arya,in the,Waif
Moro,in the,Vaes Dothrak
Cersei,in the,Red Keep
Ironborn,in the,North
Balon,in the,North
Jon,in the,Lord
Melisandre,in the,Common Tongue
Cersei,in the,Great Sept
Tyrion,in the,Meereen
Umbers,in the,North
Balon,in the,North
Bran,in the,AND Wylis
Jon Arryn,in this,Robert
Arya,incapacitated by Polliver who takes,Needle
Walder Frey,includes,Robb
Mance Rayder,including,Jon Snow
Jon,including,Maester Aemon
Dreadfort,including,Locke
Jon,including,Locke
Night's Watch,including,Locke
Faith,including,Lancel
Meereen,including,Hizdahr
Great Houses,including,House Targaryen
Night King,including,Karsi
Castle Black,including,Wun Wun
Ghost,including,Davos
White Walkers,including,Night King
Baelish,including granting,Harrenhal
Hizdahr,indicates,Daenerys
Prince,indicating,Doran
Dany,infiltrate,Meereen
Jon,infiltrate,Mance
Bronn,infiltrate,Water Gardens
Tywin,inflict,Tywin
Lord Lord,inflicted,Jaime Lannister
Sandor,inflicted,Gregor
Ramsay,inflicting,Sansa
Grey Worm,inform,Yunkai
Tyrion,informing,Jorah
Sansa,informing,Jon
Ned Stark,informing him that he was,Robert Baratheon
Lady Catelyn Stark,informs,Eddard
Renly,informs,Robert
Jon,informs,Robb
Bolton,informs,Stannis Baratheon
Tywin,informs,Tyrion
Lord Lord,informs,Tywin
Varys,informs,Daenerys
Pycelle,informs,Cersei
Cersei,informs,Olenna
Pod,informs him that she disappeared,Joffrey
Qhorin,initiates a plan to install,Jon
Arya,inside the,Titan
Sand Snakes,inside the,Gardens
Varys,insinuates,Sansa
Sam,insisting that he is,Sam
Theon,insisting that he is,Ramsay
Catelyn,insists,Robb
Lady Lady,insists,Sansa
Brynden,insists,Robb
Jon,insists,Night
Tyrion,insists,Sansa
Margaery,insists,Olenna
Stannis,insists,Shireen
Melisandre,insists her god is,Stannis
Craster,insists that he is,White Walkers
Davos,insists that it is,Stannis
Arya,insists that she is,Waif
Tormund,inspects,Jon
Jaqen H'ghar,instructed her to present,Braavos
Tyrion,instructing,Tyrion
Doreah,instructs,Daenerys
Littlefinger,instructs,Ros
Robert,instructs,Eddard
Kingsguard,instructs,Trant
Tyrion,instructs,Lancel
Mero,instructs,Barristan
Tyrion,instructs,Varys
Lord Stannis,instructs a courier to take,Dragonstone
Bones,insults,Tormund
Mance Rayder,intends to attack,Night
Robb,intends to march,North
Stannis,intends to retake,North
Malko,intends to return,Volantis
Walder,intends to rule,North
Joffrey,intends to serve,Robb
Stannis,intends to take,North
Jeor,intercede at court and get,Watch
Sansa Sansa,intercedes telling,Joffrey
Ser Rodrik Cassel,intercept,Robb
Sam,interrogate,Jon
Catelyn,interrogates,Jaime
High Sparrow,interrogates,Loras
Waif,interrogates,Arya
Kingsguard,interrupt,Syrio Forel
Viserys,interrupts,Daenerys
Tywin,interrupts,Oberyn Martell
Selyse,interrupts,Sam
Ghost,intimidate,Rast
Theon,intimidate,Osha
Great Sept,intimidating,Sparrows
Doreah,into,Daenerys
Myrcella,into,House Martell
Red Keep,into,Crown
Melisandre,into a,Stannis
Talisa,into a,House Frey
Pod,into a,Ros
Myr,into a,Hollow Hill
Summer,into a,Craster
Fennesz,into a,Mighdal
Cersei,into a,Small Council
Ramsay,into a,Yara
Xaro,into an,Pyat Pree
Cersei,into an,Robert
Free Cities,into the,Dothraki
Night,into the,Haunted Forest
Daenerys Daenerys,into the,Red Waste
Shadow,into the,Melisandre
Wildfire,into the,Stannis
Jon,into the,Lord
Low Valyrian,into the,Common Tongue
Robb Stark,into the,Harrenhal
Tywin,into the,Westerlands
Qyburn,into the,Jaime
Olenna,into the,Cersei
Stannis,into the,Melisandre
Sam,into the,Nightfort
Eddison,into the,Haunted Forest
Arya,into the,Braavos
Cersei,into the,Margaery
Jon,into the,Eddard Stark
Jorah,into the,Norvosi
Bran,into the,Weirwood
Meera,into the,Bran
Robb,introduces,Talisa
Sansa,introduces,Alayne
Davos,introduces,Stannis
Qyburn,introduces,Cersei
Drogo,invade,Westeros
Dothraki,invade,Westeros
Khal Khal,invade,Westeros
Drogo,invade,Westeros
Stannis,invited,Melisandre
Watch,invited to stay,Winterfell
Margaery,invites,Sansa
King,invites,Hound
Davos Seaworth,invites,Jon
Tyrion,invites,Kinvara
Tyrion,involving,Princess Myrcella Baratheon
Jon Snow,is,House Stark
Jaime,is,Eddard
Gold Dragons,is,Lord Tywin Lannister
Catelyn,is,Winterfell
Viserys,is,Dothraki
Gendry,is,Robert
Ned,is,Robert Baratheon
Lysa,is,Cat
Vale,is,Eyrie
Eddard,is,Ser Hugh
Joffrey,is,Tommen
Cersei,is,Eddard
Jon,is,Benjen
Catelyn,is,Lysa
Dothraki,is,Dothraki
Aemon,is,Aemon Targaryen
Maester Luwin,is,Eddard
Renly Baratheon,is,Renly
Stannis,is,Cersei
Lord Tywin,is,Jaime
Melisandre,is,Cressen
Tyrion,is,Lancel
Stannis,is,Stannis
Margaery,is,Sansa Stark
Stannis,is,Catelyn
Stannis,is,Lannisters
Arya,is,Robb Stark
Joffrey,is,Jaime
Stannis,is,Lord
Stannis,is,Melisandre
Mormont,is,Sam
Westeros,is,Jorah
Sansa,is,Olenna
Edmure Tully,is,Riverrun
Winterfell,is,House Tarth
Mance,is,Tormund
Iron Throne,is,Littlefinger
Brienne,is,Lord Selwyn
Cersei,is,Tywin
Cersei,is,Margaery Tyrell
Sansa,is,Robb
Robb Stark,is,Robb
Mormont,is,Rast
Orell,is,Castle Black
Barristan,is,Lord Commander
House Karstark,is,House Stark
Locke,is,Jaime
Brienne,is,Harrenhal
Sansa,is,Joffrey
Sansa,is,North
Tyrells,is,Lannisters
Joffrey,is,Tywin
Sansa,is,Cersei
Sansa,is,Tyrion
Tywin,is,Cersei
Tywin,is,Cersei
Tywin,is,Hand
Baelish,is,Conqueror
Ygritte,is,Jon
Jon,is,Night's Watch
Edmure,is,House Frey
Jon,is,Night's Watch
Sansa,is,Joffrey
Shae,is,Tyrion
Melisandre,is,Selyse
Roose,is,Ramsay
Jon,is,Thorne
Thorne,is,Maester Aemon
Tyrion,is,Baelish
Tyrion,is,Sansa
Joffrey,is,Tommen
Sansa,is,Petyr
Theon,is,Yara
Lysa Arryn,is,Hound
Sansa,is,Catelyn
Missandei,is,Dothraki
Jaime,is,Cersei
Sam,is,Sam
Aemon,is,Sam
Sam,is,Sam
Jon,is,Night's Watch
Tywin,is,Tyrion
Maggy,is,Cersei
Sansa,is,Littlefinger
North,is,Stark
Roose,is,Littlefinger
Tywin,is,Jaime
Jaime,is,Cersei
Margaery,is,Sansa
Waif,is,Arya
Margaery Margaery,is,Tommen
Margaery,is,Tommen
Bronn,is,Dorne
Tyene Sand,is,Ellaria
Roose Bolton,is,Warden
Stannis,is,Castle Black
Tormund,is,Jon
Sansa,is,Sansa
Jorah,is,Drogon
Arya,is,Arya
Arya,is,Jaqen H'ghar
Doran,is,Areo
Sansa,is,Winterfell
Sansa,is,Ramsay
Myranda,is,Winterfell
Sansa,is,Reek
Melisandre,is,Winterfell
Myrcella,is,Jaime
Jon,is,Night's Watch
Shireen,is,Princess Shireen
Jaime,is,Oberyn
Coin Mace Tyrell,is,Ser Meryn Trant
Lhara,is,Arya
Wall,is,Valyrian
Ghost,is,Edd
Yara,is,Deepwood Motte
Balon,is,Drowned God
Oldtown,is,Westeros
Lyanna,is,Dayne
Ned,is,Howland
Arya,is,Arya
Osha –,is,Rickon Stark
Robin,is,Lord
Yara,is,Greyjoy
Euron,is,Yara
Bran,is,Winterfell
Melisandre,is King,Robert Baratheon
Brienne,is a noblewoman and worth,Tarth
Shae,is a ship waiting,Pentos
Tyrion,is abducted,Jorah Mormont
Jorah,is abhorred,Westeros
Norvosi,is able to land,Jorah
Jaqen,is able to tell,Arya
Jaime,is about to kill,High Sparrow
Pod,is about to leave,Tyrion
Margaery,is about to leave,Highgarden
Reek,is about to leave,Ramsay
High Sparrow,is about to turn,Cersei
Arya,is about to walk,Arya
Daenerys,is accompanied,Queensgard
Joffrey,is accusing,Tyrion
Baelish,is actually sexually attracted,Sansa
Dany,is adamant on freeing,Yunkai
Lord Lord,is also about to depart,Harrenhal
Daenerys,is also chained,Pyat
Gilly,is amazed,Sam
Sandor,is ambushed,Biter
Catelyn,is angered,Bran
Tyrion,is angered,Tywin
Viserys,is annoyed,Drogo
Rast,is annoyed,Sam
Yara,is another cruel trick played,Ramsay
Bran,is approached,Osha
Sansa,is approached,Dontos Hollard
Tyrion,is approached,Oberyn Martell
Cersei,is approached,Lancel Lannister
Town,is arguing,Gilly
Shireen,is ashamed,Stannis
Margaery Tyrell,is at manipulating,Joffrey
Night's Watch,is attacking,Jon
Castle Black,is attended,Sansa
Littlefinger,is awarded,Harrenhal
Sam,is badly beaten,Gilly
Stannis,is bemused,Melisandre
Robb,is betrayed,Stannis
Tyrion,is betrayed,Ser Mandon
Robb,is betrayed,Tyrion
Wall,is big enough to hold,Walkers
Jon,is brought,Mance Rayder
Melisandre,is brought,Brotherhood
Theon,is brought,Roose
Arya,is brought,Hall
Osha,is brought,Ramsay Bolton
Tarth,is called,Sapphire Isle
Jaime,is captured,Robb
Yunkish,is carried,Daenerys
Khal,is carrying,Viserys
Ygritte,is caught,Jon
Lord Commander Mormont,is checking,Craster
Jaime,is clearly irked,Joffrey
Catelyn Stark,is complicated,Catelyn
Viserys,is concerned,Illyrio
Myrcella,is confined,Jaime
Cersei,is confronted,Brother Lancel
Sansa,is confused,Queen Cersei
Bran,is confused,Jojen
Daenerys,is confused,Missandei
Aemon,is continued,Jon
Locke,is convinced,Lord Selwyn
Varys,is convinced,Tyrion
Stannis,is convinced,Melisandre
Eddard Stark,is covered,Sandor Clegane
Euron,is crowned,Aeron
Nightshade,is deadly unless taken,Grand Maester Pycelle
Arya,is defeated,Tywin Lannister
Jon,is defused,Tyrion
Jorah,is delivered,Varys
Ros,is departing,Winterfell
Jon,is discomfited,Melisandre
Tywin Lannister,is discussing,Amory Lorch
Night's Watch,is disgusted,Mormont
Cersei,is disgusted,Jaime
Kevan,is disgusted,Cersei
Tywin,is distracted,Arya
Tyrion,is disturbed,Cersei
Daenerys,is disturbed to see,Dothraki
Tyrion,is doing,Tywin
Daenerys,is done,Kraznys
Princess Myrcella,is enjoying,Trystane Martell
Viserys,is enraged,Daenerys
Tyrion,is enraged,Joffrey
Jon,is eyeing,Jon
Joffrey,is far from won,Stannis
Tyrion,is fascinated,Pod
Astapor,is finished,Daenerys
Pypar,is firing,Sam
Cersei,is for being,King
Valyrian,is forged,Ned Stark
Samwell Tarly,is fretting,Gilly
Sam,is frustrated,Gilly
Joffrey Baratheon,is furious when he hears,Robb Stark
Robb,is furious when he learns,Catelyn Stark
Ramsay,is getting,Roose
Sansa,is greeted,Lord Petyr
Tywin,is guilty for murdering,Joffrey Baratheon
Davos,is happy to put,Stannis
Ser Bronn,is headed,Oldtown
Littlefinger,is heading,King
King,is heading,Council –
Tyrion,is held,Jorah
Kingsmoot,is held,Yara Greyjoy
Arya,is herded,Lannister
Robb Stark,is hosting,Tyrion Lannister
Hound,is immediately recognized,Podrick
Catelyn,is impressed,Brienne
King,is in fact taking,Twins
Daenerys,is in their tent tending,Drogo
Olenna Tyrell,is incautious when questioned,Joffrey Baratheon
Sansa,is instead brought,Queen Regent Cersei Lannister
Tobho Tobho,is interrogated,Gendry
Baelor,is interrupted,Lady Margaery Tyrell
Bran,is interrupted,Meera Reed
Sansa Sansa,is introduced,Olenna Tyrell
Edmure,is introduced,Roslin Frey
Sansa,is joined,Myranda
Hound,is judged,Jon
Ellaria,is kill,Cersei
Barra,is killed,Petyr
Rorge,is killed,Arya
Viserys,is later discovered,Daenerys
Melisandre,is leading,Stannis
Davos,is leading,Stannis
Jon Snow,is led,Ygritte
Robin,is let,Baelish
Tyrion,is lost,Bronn
Sansa,is made,Stannis
Daenerys Daenerys,is magically separated,Jorah
Tormund,is more willing to negotiate,Mance
Lancel,is naked,Cersei
Reek,is no escaping,Ramsay
Grand Maester Pycelle,is no longer Acting,Hand
Jorah,is not amused,Daenerys
Euron,is not killing,Balon
Tyrion,is not made,Joffrey
Missandei,is noticeably touched,Grey Worm
Night King,is now able to locate,Bran
Lannister,is now exposed,Tywin
Mace,is oblivious that this is,Cersei
Ramsay,is obviously angered,Sansa
Lord Lord,is officially named,Hand
Reek,is officiated,Roose Bolton
Umber,is only one king,Robb
Thorne,is only saved,Grenn
Pycelle,is outraged,Qyburn
Theon,is over and to return,Maester Luwin
Eddard,is packing,Littlefinger
Davos Seaworth,is paid,Stannis
Tywin,is particularly insulted,Tyrion
Sansa,is perturbed,Sandor
Viserys,is pleased,Drogo
Volantis,is pleased to see,Tyrion
Dany,is pointed,Meereen
Sansa,is publicly shaming,Joffrey
Lysa,is pushed,Moon Door
Joffrey,is puzzled,Tywin
Jory,is quickly killed,Jaime
Jon,is reading,Olly
Jaime,is rebuffed,Jaime
Arya,is rebuffed,Sandor
Jaime,is recognized,Brienne
Brotherhood Without Banners,is recognized,Sandor Clegane
Selyse,is referring,Princess Shireen Baratheon
Tyrion,is relieved,Shae
Jorah,is relieved,Barristan
Drogo,is reluctant to cross,Narrow Sea
Sansa,is reluctant to talk,Ramsay Bolton
Sansa,is reminded,Sansa
Margaery,is responsible for having,Loras
Theon,is returning,Torrhen
Tywin Lannister,is revealed,House Tyrell
Mole,is revealed,Sam
Wall,is riding,Castle Black
Mance,is satisfied and advises,Jon
Jaime,is scorned,Cersei
Loras,is shaped,Dorne
Catelyn,is shocked,Lysa
Tywin,is shocked,Tyrion
Mance,is shocked,Jon
Grey Grey,is shot,Frey
Bronn,is singing,Dornishman
Cersei,is sitting,Tywin
Jorah,is sold,Malko
Talisa,is stabbed,Lame Lothar
Hound,is stopped,Gendry
Sandor,is strapped,Sandor
Tormund,is subdued,Jon
Eddard,is summoned,Robert
Jon,is summoned,Mormont
Margaery,is summoned,Joffrey
Sansa,is summoned,Lysa
Mormont,is sure they are,Jon
Ygritte,is surprised,Jon
Varys,is surprised,Ros
Roose,is surprised,Jaime
Tywin,is surprised,Joffrey
Daenerys,is surprised,Daario
Brienne,is surprised,Arya
Daenerys,is surprised,Viserys
Tyrion,is surprised,Jorah
Daenerys,is surprised to learn,Missandei
Brienne,is swiftly rewarded,Hot Pie
North,is taken,Lord Eddard Stark
Jon,is taken,Fist
Jaime,is taking,Tyrion
Lord Yohn,is taking,Sansa
Jon,is talking,Commander Mormont
Sansa,is terrorized,Joffrey
Yara Greyjoy,is the first to lay,Salt Throne
Olenna,is the one married,Margaery
Qyburn,is to accompany,Jaime
Arya,is to assist,Waif
Cersei,is to blame,Prince Trystane
Faith Militant,is to defend,Faith
Eddard,is to faithfully serve,Cersei
Castle Black,is to fly,White
Second Sons,is to kill,Mero
Joffrey,is to marry,Margaery
Jon,is ultimately unable to kill,Ygritte
Petyr,is unable to deter,Lysa
Qotho,is unhappy with entrusting,Drogo
Robb,is unsurprised that she rejected,Alton
Egen,is unwilling to fight,Tyrion
Sam,is upset,Grenn
Winterfell,is visibly shaken,Myranda
Tyrion,is visited,Shae
Shae,is warned,Tywin
Sansa,is watched,Jaime
Arya,is wearing,Arya Stark
Eddard,is what killed,Robert
Pycelle,is what led,Qyburn
Daenerys,is what made,Robert
Jaqen,is why he is,Arya
Yunkai,is willing to overlook,Astapor
Selyse,is worried,Stannis
Stannis,is wrong and he knew,Davos
Freys,join,Robb
Eddison Tollett,join,Jon
Daario,join,Second Sons
Jaime,joined,Kingsguard
Highgarden,joining,Stannis Baratheon
Samwell Samwell,joins,Night's Watch
Samwell Samwell,joins,Castle Black
Sam,joins,Jon
Jon Jon,joins,Qhorin
House House,joins,House Tully
Euron Greyjoy,joins the gathering to lay,Salt Throne
Tyrion,journey north to see,Wall
Light,judge,Sandor
Eddard,judged him dishonorable for killing,Mad King
Dany,keep,Drogo
Rast,keep,Sam
Littlefinger,keep,Tyrion
Melisandre,keep,Gendry
Sansa,keep having,Shae
Sansa,keep heading,Jon
Jaime,keep his word to return,Catelyn Stark
Arya,keep them from picking,Arya
Gilly,keeping,Castle Black
Eddard,keeps,Arya
Lancel,keeps,Robert
Grand Maester Pycelle,keeps,Ser Ilyn Payne
Joffrey,keeps pushing,Tyrion
Bronn,kicks,Ser Vardis Egen
Bronn,kill,Meryn
Arya Arya,kill,Hound
Ser Mandon Moore,kill,Tyrion
Tormund,kill,Jon
Frey,kill,Stark
Craster,kill,Mance
Stannis,kill,King
Jon,kill,Qhorin
Sam,kill,White Walkers
Jon,kill him to give,Jon
Night's Watch,kill or rape,Craster
Shaggydog,kill two wildlings threatening,Jon
Jaqen H'ghar,killed,Lorch
Jon,killed,Qhorin Halfhand
Jon,killed,Qhorin
Tyrion,killed,Joanna
Robert Baratheon,killed,Rhaegar
Gregor,killed,Aegon
Aerys Targaryen,killed,Robert
Karstark,killed,Jaime
Jaime,killed,Mad King
Needle,killed,Lommy
Brandon,killed,Petyr
Sam,killed,White Walker
Westeros,killed,Tywin
Meryn,killed,Syrio Forel
Shaggydog,killing,Theon
Davos Seaworth,killing,Davos
Cersei,killing,Tommen
Sandor,killing,Mycah
Qyburn,killing,Brienne
Areo Hotah,killing,Ellaria
Euron,killing,Balon
Eddard,kills,Rhaegar
Eddard,kills,Lady
Brienne,kills,Kingsguard
Jaime,kills,Alton
Podrick Payne,kills,Ser Mandon
Joffrey,kills,Ros
Jon,kills,Orell
Catelyn,kills,Walder Frey
Mossador,kills,Harpy
Arya,kills,Meryn Trant Ser Meryn Trant
Brienne,kills,Podrick
Meera,kills,White Walker
Night King,kills,Bran
Bronn,kills a snake that was,Jaime
Catelyn,kisses,Sansa
Littlefinger,kisses,Sansa
Ellaria,kisses,Myrcella
Ellaria Sand,kisses,Myrcella
Cersei,kissing,Tywin
Myrcella,kissing,Trystane
Tyrion,kneel,Tyrion
Mormont,knew,Craster
Trident,knew,Viserys
Ser Barristan,knew,Rhaegar
Targaryen Kingsguard,knew,Rhaegar
Barristan,knew,Jorah
Eyrie,knew,Jaime
Arya,knew,Jaqen
Sansa,knew,Lyanna
Robert Baratheon,knighted,Jorah
Styr,knocking,Longclaw
Jorah,knocking,Jorah
Bronn,knocks,Myrcella
Water Dancer,knocks,Jorah
Dagmer,know,Bran
Jon,know,Jon Sn
Thorne,know,Qhorin
Melisandre,know,Jon Snow
Boltons,know,North
Daario,know that it was,Jorah
Arya,know what happens,Waif
Arya,knowing,Nymeria
Ramsay,knowing how close Theon was,Robb
Ellaria,knowing this will bring,Dorne
Sandor Clegane,known,Hound
Gregor Gregor,known,Mountain
Faceless Man,known,Jaqen H'ghar
Varys,knows,Littlefinger
Quaithe,knows,Jorah
Daenerys,knows,Xaro
Jon,knows,Castle Black
Daenerys,knows,Lys
Dornish,knows,Podrick
Cersei,knows how to rule,Margaery
Arya,knows how to use,Thoros
Daenerys,lacks,Westeros
Roose,laid,Ramsay
Lysa,laments,Sansa
Robert,land,Westeros
Dorne,land,Sunspear
Jon,lashes,Ser Alliser Thorne
Cersei,lashes,Jaime
Stannis,laughs,R'hllor
Ser Davos,lay,Iron
Jon,lays,Ygritte
Bronn,lead,Pod
Locke,lead,Brienne
Daario Naharis,lead,Dothraki
Lord Lord,leads,Robert
Tyrion Lannister,leads,King
Tyrion,leads,Varys
Myranda,leads,Sansa
Areo,leads,Bronn
Jaqen,leads,Arya
Aeron Greyjoy,leads,Euron
Ser Loras,leads to them having,Loras
Eddard,learn that the crown is,Gold Dragons
Tyrion,learned how to survive,Joffrey
Selmy,learns,Lord Commander
Tyrion,learns,Cersei
Daenerys,learns,Joffrey
Yara,learns,Theon
Daenerys,learns,Ornela
Catelyn,leave,Bran
Jory,leave,Eddard
Daenerys,leave,Red Waste
Daenerys Targaryen,leave,Qarth
Tyrion,leave,Pentos
Mormont,leave,Craster
Daenerys,leave,Yunkai
Shae,leave,Tyrion
Tyrion,leave,Margaery
Tommen,leave,Jaime
Selyse,leave,Shireen
Podrick,leave,Podrick
Ramsay Bolton,leave,Sansa
Gilly,leave,Wall
Melisandre,leave,Jon
Missandei,leave,Meereen
Yara,leave,Dreadfort
Brynden,leave,Castle Black
Stannis,leave soon enough to confront,Winterfell
Jon,leaves,Castle Black
Joffrey,leaves,Lancel
Robb,leaves,Roose
Edmure Tully,leaves,Riverrun
Gendry,leaves,King
Jaime,leaves,Harrenhal
Jon,leaves,Thorne
Jon,leaves,Locke
Cersei,leaves,Qyburn
Jon,leaves,Night's Watch
Yezzan,leaves,Tyrion
Davos,leaves,Stannis
Stannis,leaves,Sansa
Tommen,leaves,Jaime
Tormund,leaves,Melisandre
Tommen,leaves,High Sparrow
Hot Hot,leaves after addressing,Starks
Daenerys,leaves after touching,Rhaego
Loras,leaves in anger after watching,Renly
Tyrion,leaves to find,Varys
Slaver,leaving,Qarth
Robb,leaving,Lord Roose Bolton
Jon,leaving,Ygritte
Jon,leaving,Night
Daenerys,leaving,Vaes Dothrak
Dothraki,led,Khal Drogo
Jory Cassel,led,Ser Jaime Lannister
Lannister,led,Sandor Clegane
Wall,led,Lord Commander Jeor Mormont
House Greyjoy,led,Theon Greyjoy
Night's Watch,led,Qhorin Halfhand
Ygritte,led,Tormund Giantsbane
Jon,led,Grenn
Northmen,led,Eddard Stark
House Bolton,led by a man named,Locke
Robert,left,Small Council
Arya,left,King
Starks,left,Winterfell
Mance,left guarding,Castle Black
Small Council,left in the capital are,Pycelle
Cersei,left instructions to return,Storm
Stannis,legitimize,Jon Stark
Vaes Dothrak,let alone getting,Meereen –
Joffrey,let her go,Margaery
