entity1,relationship,entity2
Reach,and,House Martell
Tyrion,and,Bronn
Tyrion,and,Bronn
Joffrey,and,Robb
Jaime Lannister,and,Brienne
Cersei,and,Olenna
Joffrey,and,Margaery
Cersei Lannister,and,Olenna Tyrell
Varys,and,Olenna
Eddard,and,Robert
Rhaenys,and,Aegon Targaryen
Bran,and,Jojen
Bran,and,Rickon Stark
Bran,and,Rickon
Ser Jorah Mormont,and,Ser Barristan Selmy
Jon,and,Ygritte
Jon,and,Ygritte
Jon,and,Ygritte
Jon,and,Ygritte
Jorah,and,Barristan
Martyn,and,Willem Lannister
Martyn,and,Willem
Starks,and,Karstarks
Riverrun,and,Harrenhal
Lannister,and,Tyrell
Stannis,and,Selyse
Sansa Stark,and,Margaery Tyrell
Cersei,and,Tyrion
Loras,and,Cersei
Cersei,and,Tyrion Lannister
Varys,and,Baelish
Jaime,and,Bolton
Jaime,and,Brienne
Osha,and,Meera Reed
Samwell Samwell,and,Gilly
Jon,and,Ygritte
Jon Jon,and,Ygritte
Ygritte,and,Jon
Jon,and,Ygritte
Melisandre,and,Gendry
Meera,and,Jojen Reed
Robb,and,Talisa
Jaime,and,Brienne
Tyrion,and,Sansa
Sam,and,Gilly
Jorah,and,Barristan
Prendahl,and,Daario
Daario,and,Mero
Samwell Samwell,and,Gilly
Sam,and,Gilly
Sam,and,Gilly
Stannis,and,Davos
Houses Reyne,and,Tyrell
Sansa,and,Tyrion
Daario,and,Jorah
Jorah,and,Grey Worm
Samwell Tarly,and,Gilly
Orell,and,Tormund Giantsbane
Bran,and,Jojen Reed
Summer,and,Shaggydog
Meera,and,Jojen
Lords Walder Frey,and,Roose Bolton
Tyrion Lannister,and,Sansa Stark
Arya Stark,and,Sandor Clegane
Tyrion Lannister,and,Sansa Stark
Robb,and,Catelyn Stark
Hodor,and,Jojen
Sam,and,Gilly
Sam,and,Gilly
Sam,and,Pypar
Tyrion,and,Bronn
Oberyn,and,Tyrion
Jaime,and,Brienne
Ygritte,and,Tormund
Rhaegal,and,Viserion
Grey Worm,and,Daario Naharis
Ser Jorah,and,Ser Barristan
Joffrey,and,Margaery
Stannis,and,Selyse
Locke,and,Roose
Bran,and,Rickon Stark
House Bolton,and,House Frey
Bran,and,Rickon
Bran,and,Rickon
Jojen,and,Meera
Joffrey,and,Podrick Payne
Joffrey,and,Margaery
Sansa,and,Tyrion
Margaery,and,Olenna
Jaime,and,Cersei
Tywin,and,Tommen
Ellaria Sand,and,Olyvar
Edd,and,Grenn
Rast,and,Karl
Jorah,and,Barristan
Meera,and,Hodor
Jon Jon,and,Grenn
Locke,and,Olly
Thorne,and,Slynt
Jaime,and,Lady Catelyn
Ghost,and,Summer
Meera,and,Jojen
Cersei,and,Tywin
Lord Lord,and,Sansa Stark
Sandor Clegane,and,Arya Stark
Stannis,and,Davos
Bolton,and,Greyjoy
Tyrion,and,Sansa
Stannis Stannis,and,Ser Davos
Tyrion,and,Bronn
Tyrion,and,Jaime discuss Tyrion
Oberyn,and,Elia
Jon,and,Sam
Arya,and,Sandor
Brienne,and,Podrick
Brienne,and,Podrick
Brienne,and,Podrick
Sansa,and,Robin
Ramsay,and,Reek
Styr,and,Ygritte
Littlefinger,and,Robin
Sandor Clegane,and,Arya Stark
Tyrion,and,Jaime
Jaime,and,Tyrion
Tormund,and,Styr
Styr,and,Tormund
Sam,and,Gilly
Sam,and,Pyp
Night's Watch,and,Castle Black
Styr,and,Ygritte
Ygritte,and,Jon
Mag,and,Grenn
Stannis Baratheon,and,Davos Seaworth
Stannis,and,Davos
Stannis,and,Davos
Queen Selyse,and,Princess Shireen
Mighdal,and,Fennesz
Missandei,and,Grey Worm
Rhaegal,and,Viserion
Tyrion,and,Jaime
Tarth,and,Podrick Payne
Brienne,and,Arya
Brienne,and,Podrick
Brienne,and,Podrick
Free Cities,and,Braavos
Young Young,and,Melara
Hizdahr zo Loraq,and,Daario Naharis
Viserion,and,Rhaegal
Littlefinger,and,Sansa
Littlefinger,and,Sansa
Gilly,and,Shireen
Pod,and,Brienne
Black,and,White
Ternesio Ternesio,and,Arya Stark
Black,and,White
Black,and,White
Tyrion Lannister,and,Varys
Ellaria,and,Doran
Brienne,and,Podrick
Daario,and,Grey Worm
Mossador,and,Hizdahr zo Loraq
Sam,and,Gilly
Tyrion,and,Varys
Tommen Tommen,and,Margaery Tyrell
Tommen,and,Cersei
Sansa,and,Baelish
Black,and,White
Tyrion Lannister,and,Varys
Jaime Lannister,and,Ser Bronn
Jaime,and,Bronn
Jaime,and,Bronn
Nymeria,and,Tyene
Daenerys,and,Daario Naharis
Grenn,and,Pyp
White Walker,and,Sam
Selyse,and,Shireen
Stannis,and,Melisandre
Tarth,and,Podrick Payne
Bran,and,Rickon
Tyrion,and,Jorah
Trystane,and,Myrcella
Jaime,and,Bronn
Black,and,White
Jorah,and,Tyrion
Tyrion Lannister,and,Jorah Mormont
Tyrion,and,Jorah
Meereen,and,Queen Daenerys
Trystane Martell Jaime,and,Bronn
Bronn,and,Jaime
Tyene,and,Nymeria
Areo,and,Prince Doran
Boltons,and,Stannis
Ser Alliser Thorne,and,Sam
Sam,and,Gilly
Sam,and,Jon
Obara,and,Nymeria
Ser Loras,and,Queen Margaery
Margaery,and,Loras
Margaery,and,Loras
Daenerys,and,Daario
Wise,and,Good Masters
Tyrion,and,Jorah
Tyrion,and,Daenerys
Houses Targaryen,and,Stark
Bran,and,Rickon
Bran,and,Rickon
Jon Jon,and,Tormund Giantsbane
Loboda,and,Karsi
Jon,and,Loboda
Stannis,and,Shireen
Iron Throne,and,Dorne
Trystane,and,Myrcella
Nymeria,and,Tyene Sand
Black,and,White
Dany,and,Missandei
Jorah,and,Daario
Theon,and,Sansa
Myranda,and,Reek
Black,and,White
Jorah,and,Daario
Jorah,and,Daario
Daario,and,Jorah
Myrcella,and,Trystane
Grand Maester Pycelle,and,Qyburn
Edd,and,Davos
Brienne,and,Podrick meet m N
Ramsay,and,Maester Wolkan
Theon,and,Sansa
Jon,and,Castle Black
Brienne,and,Podrick
Daario,and,Jorah
Obara,and,Nymeria
Jaime,and,Tommen
Myrcella,and,Prince Trystane
Missandei,and,Grey Worm
Tyrion,and,Varys
Ramsay,and,Roose
Brienne,and,Pod
Salt Throne,and,Aeron
Olly,and,Alliser Thorne
Alliser Thorne,and,Olly
Gilly,and,Sam
Ser Arthur Dayne,and,Lord Commander Gerold Hightower
Rhaegar,and,Aerys
Margaery,and,Loras Tyrell
Jaime,and,Ser Gregor
Pycelle,and,Mace
Second Sons,and,Unsullied
Unsullied,and,Second Sons
Missandei,and,Grey Worm
Waif,and,Jaqen H'ghar
Gregor Clegane,and,Walder Frey
Winterfell,and,Warden
Smalljon,and,Ramsay
Osha,and,Rickon
Jorah,and,Daario
Jaime,and,Cersei
Jon,and,Sansa
Kevan,and,Olenna
Margaery,and,Loras
Margaery,and,Loras
Tarth,and,Podrick Payne
Jon,and,Sansa
Davos,and,Melisandre
Jon,and,Rickon
Petyr,and,Robin
Rickon,and,Bran Stark
Tyrion,and,Missandei
Grey Worm,and,Missandei
Grey Worm,and,Missandei
Grey Worm,and,Missandei
Jorah,and,Daario
Jorah,and,Daario
Iggo,and,Akho
Jorah,and,Daario
Jorah,and,Daario
Tormund,and,Eddison Tollett
Karstarks,and,Umbers
Brienne,and,Podrick
Baratheons,and,Lannisters
Daenerys,and,Daario Naharis
Tyrion,and,Varys
Meera,and,Hodor
Leaf,and,Meera
Roose,angered to learn,Ramsay
Sansa,angering,Arya
Missandei,announces,Razdal
Baelor,annoyed as people cheer,Margaery
Bran,annoys,Bran
Hallyne,answer,Cersei
Tywin Lannister,answer a summons from King,Joffrey
Waif,answering,Hound
Iron Throne,antagonize,Sparrows
Daario,anticipated,Jorah
Stannis,apologise for dragging,Castle Black
Reek,apologize,Sansa
Daenerys,apologizes,Drogon
Rickon,appear uncomfortable to find,Ramsay
Catelyn,appears,Eddard
Brother Lancel,appears,Cersei
Cersei,appears to be,Margaery
Eddard,appears to have,Varys
Locke,applied,Jaime
Tommen,appointing,Tywin
Lord Tywin,appointing him as acting,Hand
Faith Militant,apprehend,Loras Tyrell
Gold Cloaks,approach,Arya
Tyrion,approach,Joffrey
Bronn,approach,Water Gardens
Daario Naharis,approach,Vaes Dothrak
Night's Watch,approaches,Crasters Keep
Theon,approaches,Bran
Tyrion,approaches,Joffrey
Dontos Dontos,approaches,Sansa
Roose,approaches,Winterfell
Jon,approaches,Ser Alliser Thorne
Fennesz,approaches,High
Cersei,approaches,Tywin
Edd,approaches,Wun Wun
Jaqen,approaches,Arya
Mole,approaching,Castle Black
Stannis,approve,Melisandre
Cersei,are,Robert
House Reed,are,House Stark
Brynden,are,Edmure
Stannis,are,Robert
Thoros,are,Ned Stark
Sapphire Isle,are,House Tarth
Karstarks,are,House Karstark
Rickard Karstark's,are,Karhold
Qyburn,are,Cersei
Faith,are,Lord
Northerners,are,House Bolton
Hound,are,Clegane
Meereenese,are,Targaryen
Meereen,are,Unsullied
Margaery,are,Cersei Lannister
Tormund,are,Hardhome
Meryn,are,Arya
North,are,Ironborn
Olenna,are,Cersei
Locke,are able to rape,Brienne
Robb,are all for making,Luwin
Sansa Stark,are at the docks seeing,Princess Myrcella Baratheon
Yunkish,are better treated,Astapor
Arya,are both interrupted,Beric
Robb,are carried,Roslin
White,are coming,Luwin
Second Sons,are currently acting,Meereen
Nym,are cut,Areo
Cersei,are defeated,Joffrey
North,are fighting,House Lannister
Ygritte,are gathering,Orell
Sansa,are headed,Shae
Hot Pie,are heading,Harrenhal
Riverlands,are held,House Tully
Eyrie,are informed,Lysa
Castle Black,are insufficient to feed,Night's Watch
Margaery Tyrell,are interrupted,Brienne
Jon Jon,are interrupted,Melisandre
Arya Stark,are kept,Thoros
Wyl,are killed,Lannister
Dragonstone,are led,Stannis Baratheon
Thorne,are led,Ice Cells
Daenerys,are let,Qarth
Arya,are loading,Sandor
Jorah,are looking,Daenerys
Tyrion,are not meeting,Stannis
Sansa,are not stained,Tyrion
Night King,are now able to see,Night King
Ramsay,are now heirs,House Stark
Night's Watch,are on and repeating,Jeor Mormont
Jorah,are once again quickly heading,Meereen
Edd,are others nearby who owe,Jon
Castle Black,are outnumbered,Mance Rayder
Bran,are part of being,Jojen
Grey Worm,are posing,Meereen
Arya,are ransoming,Thoros
Samwell Tarly,are repulsed,Craster
Arya,are riding,Arya
Podrick,are scattered,Winterfell
Tyrion,are shattered,Tywin
Grenn,are shoveling,Rast
Sand Snakes,are siding,Ellaria
King,are spotted,Littlefinger
Jorah Mormont,are still making,Meereen
Harrenhal,are still missing,Hoster Tully
Bran,are still sharing,Night King
Daenerys,are stopping,Qotho
Hot Pie,are taken,Ser Amory Lorch
Hodor,are taken,Karl
Varys,are travelling,Volantis
Bones,are turned,Qarth
Hound,are turned,Frey
Daenerys,are waiting,Missandei
Margaery Tyrell,are wed,Cersei
Varys,are whispers that it was,Cersei
Qarth,are willing to receive,Dragons
Khalar,argue about how to deal,Iggo
Yara,argues that invading,North
Mance Rayder,armed,Castle Black
Stormlands,armies concentrated,King
Osha,around the,Wall
Jon,aroused by a whining,Ghost
Joffrey,arrange to have,Joffrey
Roose Bolton,arranged for her to marry,Ramsay
Viserys,arranged to wed,Daenerys
Small Council,arrest,Sparrows
Faith Militant,arrested,Loras
Tyrion,arrested and exiled,Night's Watch
Eddard Eddard,arrive,King
Rodrik,arrive,King
Ser Rodrik,arrive,King
Lord Lord,arrive,Craster
Gendry,arrive,Harrenhal
Unexpected,arrive,Mole
Varys,arrive,Volantis
Nymeria,arrive,Trystane
Bran,arrive,Bran
Robert Baratheon,arrives,Winterfell
Tyrion Lannister,arrives,Jon
Drogo,arrives,Pentos
Drogo,arrives,Illyrio
Daenerys,arrives,Vaes Dothrak
Bran,arrives,Tyrion
Khal Khal,arrives,Vaes Dothrak
Tyrion Lannister,arrives,King
Stannis Baratheon,arrives,Renly
Yara Yara,arrives,Winterfell
Daenerys Targaryen,arrives,Kraznys
Melisandre,arrives,Dragonstone
Tyrion,arrives,Pentos
Arya,arrives,Braavos
Myrcella,arrives,Dorne
White Walker,arrives and kills,Ser Waymar
Sam,arrives atop,Wall
Night's Watch,arrives to join,Jon
Varys,arrives to meet,Olenna
Petyr Petyr,arrives to speak,Sansa
Hound,arriving,Mycah
Bronn,as,Commander
Stannis,as,Robert
Dorne,as,Ellaria Sand
Melisandre,as,Stannis
Drogo,as a,Daenerys
Joffrey,as a,Sandor Clegane
Maester Luwin,as a,House Greyjoy
Gendry,as a,King
King,as a,House Tyrell
Tywin,as a,Kingsguard
Barristan,as a,Kingsguard
Grey Worm,as a,Grey Worm
Robb,as a,Robb
Tywin,as a,Tyrell
Tywin Lannister,as a,Harrenhal
Tywin,as a,Tyrells
Lord Walder Frey,as a,Edmure Tully
Ramsay,as a,House Bolton
Bronn,as a,Tyrion
Clegane,as a,House Tully
Styr,as a,Castle Black
Naath,as a,Slaver
Jeor Mormont,as a,King
Littlefinger,as a,Brienne
Daenerys,as a,Daenerys
Rayder,as a,Stannis Baratheon
Tyrion,as a,Missandei
Faith,as an,Lord
Pycelle,as an,Cersei
Tyrion,as an,Renly
Bronn,as an,Joffrey
Melisandre,as an,Lord
Melisandre,as an,Lord
Cersei,as that,Cersei
Robert,as the,Hand
Lysa,as the,Vale
Ser Jorah,as the,Dothraki
Jaime,as the,Targaryens
Eddard,as the,Lord Protector
Qarth,as the,Bones
Samwell Tarly,as the,Lord Commander Jeor Mormont
Astapor,as the,Unsullied
Barristan,as the,Queen
Ser Barristan Selmy,as the,Punishment
Tyrion,as the,Coin
Aerys,as the,Mad King
Night's Watch,as the,Varys
Braavosi,as the,Titan
Arya,as the,Hound
Tullys,as the,Lannisters
Robb Stark,as the,Boltons
Tyrion,as the,Lord Commander
Stannis,as the,Eddard Stark
Arya,as the,Westeros
Alliser Thorne,as the,Jon
Jaqen,as the,Waif
Targaryens,as the,Faith Militant
High Septon,as the,Targaryens
Jorah,as the,Tyrion
Snow,as the,Lord
Wall,as the,Night's Watch
Tommen,as the,High Sparrow
Ramsay,as the,Bolton
Citadel,as the,Citadel
Houses,as the,Mormonts
Daenerys,as the,Masters
Bronn,ask,Pod
Wall,ask,Jon
Faith Militant,ask,High Sparrow
Castle Black,ask,Jon Snow
Cersei,asked him to find,Arya Stark
Pod,asked to compile,Tyrion
Starks,asking,Osha
Melisandre,asking,Shireen
House Baelish,asking,Mole
Beric,asking about bringing,Thoros
Robb,asking him to bend,Joffrey
Petyr Baelish,asking if he was,Ramsay Bolton
Grand Grand,asking the gods to favor,Tywin Lannister
Bran,asks,Will
Robert,asks,Eddard
Tyrion,asks,Lady Catelyn
Arya,asks,Bran
Arya,asks,Jory Cassel
Eddard,asks,Jon Arryn
Joffrey,asks,Marillion
Catelyn,asks,Ned
Mormont,asks,Jon
Cressen,asks,Davos Seaworth
Cersei,asks,Lord Baelish
Arya,asks,Gendry
Tyrion,asks,Lancel
Tyrion,asks,Cersei
Loras Loras,asks,Joffrey
Tyrion,asks,Littlefinger
Mance,asks,Jon
Shae,asks,Tyrion Lannister
Robb,asks,Karstark
Viserys,asks,Ser Barristan
Fist,asks,Mormont
Arya,asks,Gendry
Tyrion,asks,Varys
Olenna,asks,Robert Baratheon
Theon,asks,Balon
Brienne,asks,Jaime
Arya,asks,Beric
Arya,asks,Thoros
Thoros,asks,Lord
Tywin,asks,Bolton
Daenerys,asks,Daario
Bran,asks,Osha
Tywin,asks,Pycelle
Bran,asks,Sam
Qyburn,asks,Cersei
Tyrion,asks,Bronn
Cersei,asks,Jaime
Cersei,asks,Oberyn
Brienne,asks,Podrick
Jaime,asks,Tywin
Robin,asks,Moon Door
Daenerys,asks,Missandei
Pypar,asks,Sam
Mance,asks,Ygritte
Eddard,asks,Jon
Tormund,asks,Maester Aemon
Tormund,asks,Jon
Sparrows,asks,Cersei
Tyrion,asks,Cersei
Lord Commander Jon Snow,asks,Sam
Daenerys,asks,Barristan
Daenerys,asks,Missandei
Waif,asks,Arya
Faceless Man,asks,Arya
Tyrion,asks,Jorah
Doran,asks,Areo
Sansa,asks,Ramsay
Stannis,asks,Melisandre
Doran,asks,Jaime
Jaime,asks,Doran
Doran,asks,Tommen
Sam,asks,Jon
Davos,asks,Edd
High Sparrow,asks,Cersei
Davos,asks,Jon
Davos,asks,Melisandre
Eddard,asks,Lyanna
Tommen,asks,High Sparrow
Tyrion,asks,Varys
Jaqen,asks,Arya
Ramsay,asks,Smalljon
Davos Davos,asks,Melisandre
Robin,asks,Baelish
